Call-site | Linea | Auto-create?
--- | --- | ---
AddFeatureCommand.execute | const resolvedLayerId = this.layerId ?? resolveLayerId(undefined, this.kind); | no
GenerateLotsCommand | const lid = resolveLayerId(this.opts.layerId, 'lote'); | no
RecomputeManzanoLotsCommand | const lid = resolveLayerId(this.opts.layerId, 'lote'); | no
SubdivideCommand | const lid = resolveLayerId(this.opts.layerId, 'lote'); | no
SubdivisionDialog | const layerId = await requireLayerForKind('lote'); | si
undoRedoBenchmark | const layerId = await requireLayerForKind('calle'); | si
recomputeManzanos (perimetro) | const perimLayerId = (perim.get('layerId') as string | undefined) ?? resolveOrCreateLayerForKind('perimetro'); | si
recomputeManzanos (manzana) | return resolveOrCreateLayerForKind('manzana'); | si
recomputeManzanos (lote via resolveLoteLayerId) | const lotLid = resolveLoteLayerId(task.layerId); | no
useManzanoActions preview | const layerId = await requireLayerForKind('lote'); | si
useManzanoActions subdiv | const layerId = await requireLayerForKind('lote'); | si
useTopBarActions | const layerId = await requireLayerForKind('lote'); | si
Map.tsx (vertex doubleclick) | const layerId = await requireLayerForKind('lote'); | si
LineMode | const layerId = await requireLayerForKind('linea'); | si
PolygonMode (perimetro) | const layerId = resolveOrCreateLayerForKind('perimetro'); | si
PolygonMode (areaKind) | const layerId = await requireLayerForKind(areaKind); | si
RectangleMode (perimetro) | const layerId = resolveOrCreateLayerForKind('perimetro'); | si
RectangleMode (areaKind) | const layerId = await requireLayerForKind(areaKind); | si
RoundaboutMode | const layerId = await requireLayerForKind('rotonda'); | si
StreetMode | const layerId = await requireLayerForKind('calle'); | si

